Institute ID,Name,City,State,Score,Rank,Year
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.76,1,2021
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,2,2021
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.52,3,2021
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.75,4,2021
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.5,5,2021
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.62,6,2021
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.4,7,2021
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.26,8,2021
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,66.61,9,2021
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.1,10,2021
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.45,11,2021
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.87,12,2021
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.54,13,2021
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,58.93,14,2021
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.91,15,2021
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,58.53,16,2021
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,57.67,17,2021
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.38,18,2021
IR-O-U-0120,University of Delhi,Delhi,Delhi,56.03,19,2021
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.83,20,2021
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.39,21,2021
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.38,22,2021
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.97,23,2021
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.47,24,2021
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.42,25,2021
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.88,26,2021
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.76,27,2021
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,53.74,28,2021
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,53.32,29,2021
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,53.22,30,2021
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,52.89,31,2021
IR-O-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,52.88,32,2021
